feature,correlation,p_value_raw,p_value_fdr,significant_fdr
ecg_all_mean,0.2161771568165867,0.1923813359392655,0.631251258550715,False
AST/ALT,0.21156074600436933,0.20228332265849164,0.6382285558051628,False
hrv_ds_duration_hours,0.20780756277275114,0.2105916842978946,0.6382285558051628,False
hrv_rem_range_rr,0.206852602162593,0.21274285193505424,0.6382285558051628,False
ecg_day_max,0.19378748502769902,0.2437064612138767,0.7108105118738071,False
height,0.1879886679002355,0.2583744986223467,0.7232844119675972,False
cpc_UST (hour),0.18621586172307755,0.2629733158033604,0.7232844119675972,False
cpc_TST (hour),0.18405614390841857,0.26864849587367895,0.7232844119675972,False
ecg_day_mean,0.17464025768618077,0.294326254649466,0.7726064184548482,False
hrv_rs_pnn50,0.1707237303664595,0.3054556925997204,0.7812260980013178,False
ecg_day_std,0.1682947776013182,0.31249043920052716,0.7812260980013178,False
hrv_rs_rmssd,0.1642621162345999,0.3243936008409206,0.7921239090301551,False
ecg_all_std,0.16075439027842628,0.33497400525396803,0.799369785265151,False
hrv_rem_std_rr,0.15246721901258742,0.36080453660753403,0.8418772520842461,False
ecg_day_length,0.13924155194467167,0.40442625426006906,0.8873235522598703,False
ecg_day_duration_hours,0.13924155194467164,0.40442625426006906,0.8873235522598703,False
UACR (mg/g),0.1368990794357706,0.4124549469989823,0.8873235522598703,False
psqi_sleep latency,0.13431505973325492,0.42141556378154743,0.8873235522598703,False
hrv_rem_max_rr,0.13272007375815326,0.4270006291732418,0.8873235522598703,False
cpc_RSP (%),0.1289803387031609,0.44025648731355893,0.8873235522598703,False
hrv_rem_cv,0.12569499847898724,0.45208573576712063,0.8873235522598703,False
hrv_ds_range_rr,0.12254381827717828,0.46359164232817945,0.8873235522598703,False
hrv_rs_range_rr,0.12192858561325118,0.46585611977813135,0.8873235522598703,False
psqi_PSQI score,0.11871164190062611,0.47779191397810244,0.8873235522598703,False
psqi_sleep duration,0.11678416688824587,0.48501935932959706,0.8873235522598703,False
UCr (g),0.11354721388559408,0.49728333963823035,0.8873235522598703,False
GGT (U/L),0.11163311289860268,0.5046090541769436,0.8873235522598703,False
Lower extremity atherosclerosis or stenosis,0.1078872639037276,0.5191012870018414,0.8873235522598703,False
hrv_ds_max_rr,0.10769942694837699,0.519833383557956,0.8873235522598703,False
psqi_habitual sleep efficiency,0.10566065107146547,0.5278122018217797,0.8873235522598703,False
ecg_sleep_std,0.1037424877830987,0.5353731692038811,0.8873235522598703,False
hrv_rs_count,0.09799504945578665,0.5583364051799374,0.8873235522598703,False
hrv_rs_duration_hours,0.09683188351330932,0.5630388331455881,0.8873235522598703,False
hrv_rs_cv,0.09650231373832296,0.5643745303623026,0.8873235522598703,False
cpc_SST (hour),0.09489285277340637,0.5709183270818889,0.8873235522598703,False
hrv_ds_mean_rr,0.09167955347466389,0.5840854804677253,0.8873235522598703,False
hrv_rem_mean_rr,0.09133313376168517,0.5855130493866152,0.8873235522598703,False
hrv_rs_std_rr,0.09060344632786771,0.5885250990086865,0.8873235522598703,False
psqi_daytime dysfunction,0.0898725391866369,0.5915490348399135,0.8873235522598703,False
hrv_rs_max_rr,0.0876406664823399,0.6008248314860124,0.8885437648736803,False
cpc_ALUS (min),0.0793316153496379,0.6358963669871115,0.9273488685228709,False
hrv_ds_std_rr,0.0758126957474626,0.6509943152219936,0.9289416744320212,False
cpc_ALSS (min),0.0749110064170314,0.6548854981827907,0.9289416744320212,False
hrv_rem_count,0.07192078343461683,0.667853513716161,0.9289416744320212,False
cpc_SSP (%),0.0695541668314189,0.6781850525890354,0.9289416744320212,False
 UA (mmol/L),0.06886061380074442,0.6812238945834822,0.9289416744320212,False
hrv_ds_min_rr,0.06416803593863586,0.7019128967430718,0.9417309292104247,False
hrv_rs_mean_rr,0.06267512881210141,0.7085404134059385,0.9417309292104247,False
cpc_USP (%),0.05554963806199266,0.7404572097729366,0.9718500878269793,False
hrv_ds_cv,0.05147173719855173,0.7589214879063246,0.9754457337249071,False
ecg_all_snr_estimate,0.049464798280844526,0.7680579654859622,0.9754457337249071,False
hrv_rs_min_rr,0.04545285958543739,0.7864137540572947,0.9754457337249071,False
hrv_rem_duration_hours,0.041572546591266524,0.8042762400648991,0.9754457337249071,False
psqi_subjective sleep quality,0.04041144774354624,0.809640721536996,0.9754457337249071,False
 AST (U/L),0.03607669557733571,0.8297419521874692,0.9754457337249071,False
psqi_height,0.03152819794056794,0.8509495156941804,0.9754457337249071,False
HDL-C (mmol/L),0.023027870916768677,0.8908494608122587,0.9754457337249071,False
ecg_day_snr_estimate,0.01944909298720573,0.9077333199169582,0.9754457337249071,False
CRP (mg/L),0.0192052260711727,0.9088853670800077,0.9754457337249071,False
hrv_rem_mean_hr,0.01879993231124344,0.9108004126482285,0.9754457337249071,False
ecg_all_duration_hours,0.01857774381280034,0.9118504824684106,0.9754457337249071,False
ecg_all_length,0.01857774381280026,0.9118504824684106,0.9754457337249071,False
hrv_rem_min_rr,0.018281534740871005,0.9132506048292615,0.9754457337249071,False
hrv_ds_mean_hr,0.015540976821120212,0.9262163773672977,0.9754457337249071,False
WBC (×109/L),0.015230572192702687,0.927686169666679,0.9754457337249071,False
