feature,correlation,p_value_raw,p_value_fdr,significant_fdr
ecg_all_mean,0.07733595059374103,0.6900805887015057,0.8828275776845024,False
ecg_day_duration_hours,0.07727035120660046,0.6903306022198621,0.8828275776845024,False
ecg_day_length,0.07727035120660045,0.6903306022198621,0.8828275776845024,False
hrv_rem_min_rr,0.07556230658617094,0.6968514824077422,0.8828275776845024,False
hrv_ds_mean_rr,0.07530015934895522,0.6978541804553685,0.8828275776845024,False
hrv_ds_count,0.07287039095812853,0.7071713944178046,0.8839642430222557,False
hrv_rs_mean_rr,0.06887703122491626,0.7225740714912375,0.8925915000774111,False
cpc_ALUS (min),0.055364392570102505,0.7754522561767362,0.937550850050089,False
cpc_TST (hour),0.05446999780575372,0.7789900574857799,0.937550850050089,False
ecg_day_std,0.050385276728278465,0.795201244123368,0.937550850050089,False
Lower extremity atherosclerosis or stenosis,0.0502823633410814,0.7956107899498925,0.937550850050089,False
hrv_rs_duration_hours,0.04465261656510035,0.8180926039990577,0.937550850050089,False
psqi_daytime dysfunction,0.04397644419718344,0.8208027184621941,0.937550850050089,False
hrv_rs_min_rr,0.04380925584535647,0.8214731257581732,0.937550850050089,False
 UA (mmol/L),0.03944438882038212,0.8390179656057392,0.9456100300757785,False
HDL-C (mmol/L),0.036162323835558605,0.8522607841912707,0.9456100300757785,False
cpc_SSP (%),0.03404038650586564,0.8608437890420433,0.9456100300757785,False
hrv_ds_duration_hours,0.03312340464770004,0.8645577417835689,0.9456100300757785,False
hrv_ds_min_rr,0.03061000797095237,0.874751734127285,0.9468962070449992,False
ecg_day_mean,0.025174345631578884,0.8968631185868207,0.9515595060128399,False
ecg_sleep_snr_estimate,0.02340048239612547,0.9040960964682988,0.9515595060128399,False
hrv_rs_count,0.022873305610472842,0.906247148583657,0.9515595060128399,False
UMA (mg),0.020079440049691855,0.9176575034686323,0.9540003748931325,False
cpc_SST (hour),0.017509582977984564,0.9281671882388371,0.9554662231870382,False
