feature,correlation,p_value_raw,p_value_fdr,significant_fdr
hrv_ds_min_rr,0.06416803593863585,0.7019128967430719,0.925038873057753,False
hrv_rs_mean_rr,0.06267512881210141,0.7085404134059384,0.925038873057753,False
hrv_ds_cv,0.05147173719855182,0.7589214879063246,0.9681753307406219,False
ecg_all_snr_estimate,0.04946479828084452,0.7680579654859622,0.9681753307406219,False
hrv_rs_min_rr,0.045452859585437384,0.7864137540572946,0.9681753307406219,False
hrv_rem_duration_hours,0.04157254659126641,0.8042762400648994,0.9681753307406219,False
psqi_subjective sleep quality,0.04041144774354618,0.8096407215369966,0.9681753307406219,False
 AST (U/L),0.036076695577335595,0.8297419521874699,0.9681753307406219,False
psqi_height,0.03152819794056805,0.8509495156941791,0.9681753307406219,False
HDL-C (mmol/L),0.023027870916768688,0.8908494608122584,0.9681753307406219,False
ecg_day_snr_estimate,0.019449092987205784,0.9077333199169582,0.9681753307406219,False
CRP (mg/L),0.019205226071172796,0.9088853670800079,0.9681753307406219,False
hrv_rem_mean_hr,0.018799932311243425,0.9108004126482283,0.9681753307406219,False
ecg_all_duration_hours,0.01857774381280021,0.9118504824684108,0.9681753307406219,False
ecg_all_length,0.018577743812800078,0.9118504824684117,0.9681753307406219,False
hrv_rem_min_rr,0.018281534740871005,0.9132506048292612,0.9681753307406219,False
hrv_ds_mean_hr,0.015540976821120212,0.9262163773672978,0.9681753307406219,False
WBC (×109/L),0.01523057219270278,0.9276861696666776,0.9681753307406219,False
UMA (mg),0.015116310208874186,0.9282272696341467,0.9681753307406219,False
ecg_sleep_mean,0.014275361634718667,0.932210634693218,0.9681753307406219,False
hrv_rs_mean_hr,0.011479685590080266,0.9454642205768404,0.9681753307406219,False
ecg_sleep_snr_estimate,0.011034563783253388,0.947575855618481,0.9681753307406219,False
N% (%),0.0034483632182995723,0.9836069597227222,0.9843280895226013,False
SBP (mmHg),0.0032966506135889938,0.9843280895226013,0.9843280895226013,False
